time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-02T16:42:26.948Z,40.034,-119.6324,11.4,2.8,ml,19,77.25,0.156,0.168,nn,nn00765184,2020-08-02T18:19:45.040Z,"9 km NNW of Sutcliffe, Nevada",earthquake,,1.1,0.11,7,reviewed,nn,nn
2020-08-02T14:39:25.010Z,54.5796,-160.913,38.86,4.8,mb,,80,0.792,0.72,us,us6000b8cs,2020-08-04T05:13:33.527Z,"88 km SSW of Sand Point, Alaska",earthquake,4.4,6.2,0.046,145,reviewed,us,us
2020-08-02T14:15:47.571Z,-5.0962,145.3896,119.36,5.4,mww,,25,3.617,0.92,us,us6000b8cq,2020-08-04T20:40:25.040Z,"46 km WNW of Madang, Papua New Guinea",earthquake,7.4,5.8,0.053,34,reviewed,us,us
2020-08-02T13:58:56.679Z,51.0216,-178.4713,22.63,3.8,mb,,228,0.574,0.64,us,us6000b8cl,2020-08-04T05:13:25.379Z,"159 km SW of Adak, Alaska",earthquake,3.4,8.9,0.127,16,reviewed,us,us
2020-08-02T12:49:09.885Z,-5.6607,127.4841,400.26,4.2,mb,,59,4.434,0.41,us,us6000b8c9,2020-08-02T13:03:41.040Z,"230 km SSW of Ambon, Indonesia",earthquake,8.2,10.1,0.176,9,reviewed,us,us
2020-08-02T12:47:25.395Z,-28.9339,60.8798,10,4.8,mb,,61,9.023,0.54,us,us6000b8ca,2020-08-02T13:02:17.040Z,"Southwest Indian Ridge",earthquake,9.9,1.9,0.097,33,reviewed,us,us
2020-08-02T12:40:24.270Z,37.408,-121.755,8.97,2.96,ml,140,29,0.03675,0.08,nc,nc73437281,2020-08-05T05:16:58.796Z,"8km NE of Alum Rock, CA",earthquake,0.08,0.19,0.174,65,reviewed,nc,nc
2020-08-02T12:16:09.998Z,55.05,-158.333,35,3.4,ml,,191,0.757,0.35,us,us6000b8c3,2020-08-02T12:26:46.040Z,"108 km SSE of Perryville, Alaska",earthquake,6,2,0.066,30,reviewed,us,us
2020-08-02T11:48:16.170Z,58.8976,-158.6992,3.6,2.8,ml,,,,0.46,ak,ak0209vrdpem,2020-08-04T05:13:17.037Z,"11 km NW of Clarks Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-08-02T11:01:01.357Z,-19.7859,-69.9074,22.52,3.9,mb,,127,0.238,1.12,us,us6000b8bw,2020-08-02T16:14:14.910Z,"53 km NNE of Iquique, Chile",earthquake,3.8,11.1,0.363,2,reviewed,us,us
2020-08-02T11:00:12.139Z,38.1658,-117.884,11.6,2.6,ml,29,48.27,0.011,0.1711,nn,nn00765137,2020-08-02T19:02:51.819Z,"31 km SE of Mina, Nevada",earthquake,,0.5,0.34,8,reviewed,nn,nn
2020-08-02T10:54:39.840Z,17.8418,-66.8608,11,3.47,md,23,237,0.1346,0.13,pr,pr2020215001,2020-08-02T11:19:51.040Z,"15 km SSE of Guánica, Puerto Rico",earthquake,0.61,0.48,0.18,22,reviewed,pr,pr
